key,role,period,wins,matches
164,4,20-25,52154,105165
164,4,30-35,106610,214413
164,4,35-40,89413,182028
164,4,40+,3809,8326
164,1,0-15,329,942
164,1,15-20,1275,2750
164,1,20-25,862,3090
164,1,30-35,672,2317
164,1,35-40,1208,1487
164,1,40+,332,136
164,5,0-15,2927,6122
164,5,15-20,3164,5549
164,5,20-25,967,1948
164,5,30-35,1506,2981
164,5,35-40,665,265
164,5,40+,3755,1304
164,3,0-15,210,158
164,3,15-20,99,425
164,3,20-25,172,311
164,3,30-35,117,216
164,3,35-40,47,369
164,3,40+,41,98
164,2,0-15,1619,2870
164,2,15-20,1304,3491
164,2,20-25,445,990
164,2,30-35,1326,2833
164,2,35-40,607,1348
164,2,40+,311,642
69,4,0-15,2946,20863
69,4,15-20,10761,5700
69,4,20-25,2539,15563
69,4,30-35,7884,5056
69,4,35-40,5037,10101
69,4,40+,9633,19002
69,1,0-15,48,61
69,1,15-20,15,114
69,1,20-25,31,129
69,1,30-35,49,188
69,1,35-40,33,93
69,1,40+,60,63
69,5,0-15,49814,100057
69,5,15-20,2319,143261
69,5,20-25,15620,4684
69,5,30-35,73027,32311
69,5,35-40,35746,69359
69,5,40+,66967,130602
69,3,0-15,3579,6917
69,3,15-20,4615,9335
69,3,20-25,4176,8339
69,3,30-35,2254,4468
69,3,35-40,1410,2587
69,3,40+,175,2297
69,2,0-15,174,396
69,2,15-20,806,1717
69,2,20-25,791,1142
69,2,30-35,493,1664
69,2,35-40,467,82
69,2,40+,297,1003
31,4,0-15,58811,120107
31,4,15-20,36397,75944
31,4,20-25,59427,116456
31,4,30-35,9888,21561
31,4,35-40,1590,66483
31,4,40+,34733,3363
31,1,0-15,2989,11540
31,1,15-20,4979,7480
31,1,20-25,3484,11537
31,1,30-35,925,2314
31,1,35-40,5269,7035
31,1,40+,2139,4126
31,5,0-15,2876,17979
31,5,15-20,6768,5647
31,5,20-25,12842,26142
31,5,30-35,8872,24320
31,5,35-40,12213,13229
31,5,40+,3250,6433
31,3,0-15,906,2002
31,3,15-20,655,1424
31,3,20-25,215,466
31,3,30-35,829,1823
31,3,35-40,303,1060
31,3,40+,530,627
31,2,0-15,2680,6217
31,2,15-20,3985,8928
31,2,20-25,1438,2872
31,2,30-35,851,8798
31,2,35-40,4044,1895
31,2,40+,2362,4968
42,4,0-15,770,1852
42,4,15-20,1350,611
42,4,20-25,1262,1507
42,4,30-35,770,813
42,4,35-40,247,2884
42,4,40+,386,2650
42,1,0-15,41,162
42,1,15-20,30,135
42,1,20-25,39,139
42,1,30-35,51,42
42,1,35-40,16,87
42,1,40+,2,8
42,5,0-15,22109,77665
42,5,15-20,36109,72705
42,5,20-25,35436,49938
42,5,30-35,9794,20443
42,5,35-40,19409,39168
42,5,40+,5827,14811
42,3,0-15,1532,3418
42,3,15-20,567,1189
42,3,20-25,913,2408
42,3,30-35,1475,1979
42,3,35-40,279,3457
42,3,40+,926,769
42,2,0-15,97,208
42,2,15-20,123,384
42,2,20-25,6,130
42,2,30-35,138,33
42,2,35-40,65,374
42,2,40+,69,284
122,4,0-15,333927,681504
122,4,15-20,302950,481945
122,4,20-25,240663,617892
122,4,30-35,80166,154975
122,4,35-40,79076,160415
122,4,40+,160651,327214
122,1,0-15,6836,14493
122,1,15-20,9078,19294
122,1,20-25,2671,20550
122,1,30-35,9585,5601
122,1,35-40,2341,4816
122,1,40+,5085,10753
122,5,0-15,5389,11025
122,5,15-20,1694,3149
122,5,20-25,4646,9158
122,5,30-35,2847,12467
122,5,35-40,6222,5794
122,5,40+,256,442
122,3,0-15,393,835
122,3,15-20,473,1217
122,3,20-25,734,1593
122,3,30-35,27,1573
122,3,35-40,680,68
122,3,40+,157,387
122,2,0-15,874,570
122,2,15-20,900,2196
122,2,20-25,659,2019
122,2,30-35,44,1791
122,2,35-40,265,139
122,2,40+,490,1092
131,4,0-15,2033,1457
131,4,15-20,3049,4508
131,4,20-25,1525,6473
131,4,30-35,2687,3199
131,4,35-40,679,5687
131,4,40+,100,230
131,1,0-15,221501,412824
131,1,15-20,66271,126348
131,1,20-25,304977,113751
131,1,30-35,246574,493875
131,1,35-40,119477,583049
131,1,40+,8875,246193
131,5,0-15,30610,62352
131,5,15-20,59280,28847
131,5,20-25,69652,118655
131,5,30-35,16190,133204
131,5,35-40,51118,93727
131,5,40+,2409,30498
131,3,0-15,288,631
131,3,15-20,283,444
131,3,20-25,77,585
131,3,30-35,53,142
131,3,35-40,188,35
