key,role,objective,secured,wins,matches
103,3,inhibitor1,True,264110,3034
103,3,inhibitor1,False,29006,3968
103,3,dragonSoul,True,88999,1001
103,3,dragonSoul,False,10302,1314
103,3,airSoul,True,17399,197
103,3,airSoul,False,2200,269
103,3,waterSoul,True,19301,222
103,3,waterSoul,False,1701,249
103,3,fireSoul,True,17701,196
103,3,fireSoul,False,2200,276
103,3,earthSoul,True,17500,197
103,3,earthSoul,False,1800,255
103,3,hextechSoul,True,17101,189
103,3,hextechSoul,False,2401,265
103,2,blue,True,890323,18807
103,2,blue,False,845922,18555
103,2,rift1,True,1058924,18330
103,2,rift1,False,665159,18758
103,2,rift2,True,890348,13877
103,2,rift2,False,441010,14550
103,2,riftDouble,True,592592,8602
103,2,riftDouble,False,235320,9023
103,2,eliteDouble,True,683221,9156
103,2,eliteDouble,False,216154,10402
103,2,dragon1,True,1140048,17550
103,2,dragon1,False,589877,19656
103,2,baron1,True,909859,11269
103,2,baron1,False,201787,12691
103,2,blood1,True,977935,17460
103,2,blood1,False,749153,19699
103,2,tower1,True,1244178,18142
103,2,tower1,False,485751,19094
103,2,inhibitor1,True,1392568,15603
103,2,inhibitor1,False,143865,17250
103,2,dragonSoul,True,440393,4890
103,2,dragonSoul,False,47116,5609
103,2,airSoul,True,89698,977
103,2,airSoul,False,8200,1142
103,2,waterSoul,True,88004,980
103,2,waterSoul,False,10704,1063
103,2,fireSoul,True,89203,986
103,2,fireSoul,False,7196,1074
103,2,earthSoul,True,85600,968
103,2,earthSoul,False,9000,1125
103,2,hextechSoul,True,87904,979
103,2,hextechSoul,False,12002,1205
84,4,blue,True,13561346,280657
84,4,blue,False,12697304,276690
84,4,rift1,True,16032821,276571
84,4,rift1,False,10021480,276760
84,4,rift2,True,13325446,206949
84,4,rift2,False,6455055,214098
84,4,riftDouble,True,8842782,128641
84,4,riftDouble,False,3399100,131037
84,4,eliteDouble,True,10576794,142679
84,4,eliteDouble,False,2997223,144028
84,4,dragon1,True,17727161,276124
84,4,dragon1,False,8404506,278664
84,4,baron1,True,14182488,176443
84,4,baron1,False,2832154,189950
84,4,blood1,True,15099099,266910
84,4,blood1,False,11042840,288024
84,4,tower1,True,18251249,257241
84,4,tower1,False,7891517,298018
84,4,inhibitor1,True,20121628,222363
84,4,inhibitor1,False,1947702,255269
84,4,dragonSoul,True,6864475,76844
84,4,dragonSoul,False,552350,75252
84,4,airSoul,True,1410296,15592
84,4,airSoul,False,104576,15200
84,4,waterSoul,True,1353019,15247
84,4,waterSoul,False,121253,14787
84,4,fireSoul,True,1343917,14969
84,4,fireSoul,False,102427,14570
84,4,earthSoul,True,1392323,15616
