key,role,physicalDamage,magicDamage,trueDamage,damage,damageTaken,heal,kills,deaths,assists,maxSpree,gold,minions,jungleCS
36,5,6501,14293,754,21549,38038,9843,5.06,5.27,7.23,2.55,11198,161.21,8.91
36,3,6484,14047,510,21042,38345,9967,5.66,5.9,8.26,2.67,11161,150.2,9.55
36,2,4128,12222,793,17145,31084,7618,3.47,6.51,9.25,1.48,8940,61.42,7.11
245,4,2691,15907,825,19425,28690,5873,5.64,6.34,5.58,2.56,11346,153.72,10.36
245,1,2407,16805,1263,20476,32250,11843,8.42,5.79,7.32,4.07,12583,40.14,123.31
245,5,2510,18131,1080,21723,27336,5712,7.66,6.23,6.2,3.55,12021,150.62,10.72
245,3,2342,17341,875,20560,27278,5641,7.8,7.19,6.71,3.35,11690,134.7,12.37
245,2,2035,12971,927,15934,25183,4837,5.35,7.28,8.32,2.22,9808,55.76,8.94
60,4,2873,17300,1230,21405,25918,5427,6.79,6.75,5.01,2.95,11468,139.55,12.67
60,1,1262,15900,1313,18478,25534,8217,7.56,5.52,7.7,3.78,11128,26.69,104.24
60,5,1815,19583,1358,22758,24926,4816,8.22,6.81,6.08,3.58,11652,127.95,11.23
60,3,1797,18286,1134,21219,24469,4615,8.49,7.84,6.87,3.47,11508,112.42,11.77
60,2,1294,15543,1155,17995,22018,3201,6.03,7.45,9.21,2.51,9915,31.1,8.0
28,4,902,18889,785,20577,23256,4413,7.43,6.66,5.28,3.38,10068,106.57,8.9
28,1,772,21510,1084,23368,28848,9521,9.66,5.83,7.11,4.75,12001,23.06,117.31
28,5,887,20983,1105,22977,23555,4513,9.16,6.86,6.31,4.08,10796,97.09,9.02
28,3,891,18880,782,20554,23525,4339,8.58,7.46,6.3,3.72,10354,83.36,13.03
28,2,751,18637,868,20258,22104,4273,7.82,7.62,7.74,3.23,9997,31.14,11.43
81,4,15062,7842,881,23786,20934,2476,5.63,6.48,5.34,2.51,11593,165.45,11.67
81,1,13008,6443,1419,20872,25915,6880,6.42,6.61,6.53,2.84,11299,52.65,100.62
81,5,14566,9595,1116,25278,20539,2172,6.77,6.4,6.19,3.05,11883,161.52,9.86
81,3,16146,6684,670,23502,19916,2935,6.8,5.67,7.26,3.25,11863,169.01,11.17
81,2,9814,6818,778,17412,16540,1569,4.22,6.65,6.78,1.76,9118,57.28,6.6
9,4,752,19230,878,20862,28734,9837,5.09,6.7,7.44,2.32,10375,133.4,10.8
9,1,315,18345,1499,20160,31475,14370,6.45,5.76,9.49,3.24,11771,35.04,123.94
9,5,483,20880,1268,22634,26385,8577,6.57,6.52,8.36,3.06,10783,125.99,13.41
9,3,508,17481,919,18910,24453,6758,5.53,7.44,8.32,2.32,9842,98.46,11.22
9,2,360,15917,950,17228,21018,4868,4.33,7.0,10.54,1.87,9239,37.24,7.24
114,4,13595,1294,5957,20848,30816,11869,6.03,6.06,4.43,2.84,11618,165.3,9.72
114,1,11683,919,5268,17871,31822,12995,6.65,6.67,5.35,2.88,11134,60.18,87.26
114,5,14289,1177,5856,21325,30858,11193,7.26,6.56,5.24,3.26,11749,151.28,10.27
114,3,13375,1079,5666,20121,30571,10629,7.6,7.28,5.79,3.22,11584,140.41,10.76
114,2,10227,992,3990,15211,25086,6805,5.2,7.36,6.44,2.04,9545,67.37,9.05
105,4,3821,14446,1075,19344,23308,2282,6.92,6.3,5.55,3.11,11368,149.59,6.54
105,1,2550,13556,1091,17200,28063,6299,7.17,7.02,6.62,2.97,11150,38.28,93.45
105,5,2833,17623,1200,21658,21957,2049,9.01,6.42,6.34,4.02,12134,144.3,6.43
105,3,2758,18175,1033,21967,22009,1919,9.98,6.95,6.54,4.24,12232,134.41,6.85
105,2,2400,13441,972,16814,20648,1765,6.54,7.1,7.85,2.69,9990,55.49,4.1
3,4,560,15604,445,16610,25835,2185,3.6,5.91,9.23,1.63,9799,139.27,4.72
3,1,479,12982,903,14365,30971,6764,3.93,6.68,9.93,1.7,9827,35.58,93.47
3,5,444,16679,569,17695,24032,1916,4.65,5.7,9.97,2.24,10140,142.15,4.51
3,3,412,14802,605,15821,23703,1855,4.34,6.8,9.71,1.82,9397,108.47,4.77
3,2,383,11555,757,12697,23249,1813,2.94,6.75,12.31,1.17,8448,46.09,1.96
41,4,16153,3643,4431,24229,25108,5463,6.3,6.44,6.3,2.81,13616,186.46,11.23
41,1,10608,2581,3296,16487,27724,8840,5.29,6.57,5.44,2.21,11631,77.59,85.8
41,5,17361,3527,4865,25755,25191,5405,7.88,6.96,6.82,3.33,14391,179.76,11.97
41,3,14383,2969,3508,20861,24237,5046,6.76,7.55,6.82,2.63,12879,158.77,11.54
41,2,10393,2609,2983,15987,21926,4411,4.42,7.57,7.37,1.67,10111,72.01,8.03
86,4,14375,355,4916,19648,29753,2617,6.64,5.27,4.59,3.34,12375,174.8,14.51
86,1,12495,362,4768,17627,31413,6785,7.24,5.93,5.35,3.35,12261,53.16,125.47
86,5,14008,339,4903,19251,28781,2449,7.39,5.18,4.95,3.73,12511,172.74,16.11
86,3,11817,408,3832,16058,28130,2223,6.95,6.17,5.34,3.13,11384,145.83,14.3
86,2,7950,428,3194,11574,25013,1721,4.47,6.78,5.43,1.84,9145,71.23,13.28
150,4,16737,3039,431,20209,27120,4877,4.8,6.02,6.32,2.32,11170,161.58,9.55
150,1,12133,2313,991,15439,28885,7023,4.53,7.28,6.64,1.89,10187,54.78,86.3
150,5,16670,2964,853,20489,27294,4307,5.8,6.58,6.97,2.67,11234,148.77,9.63
150,3,14905,2377,651,17934,26196,3910,5.76,7.85,7.47,2.33,10933,132.9,10.83
150,2,11237,1940,667,13846,24482,2637,3.41,7.83,8.78,1.3,9009,59.97,6.99
79,4,1621,16678,592,18893,28488,9893,4.29,5.43,6.79,2.1,10575,154.06,8.57
79,1,1379,17033,1190,19604,30923,13199,6.45,5.4,8.59,3.28,11315,31.24,116.68
79,5,1440,19436,1182,22061,26753,8681,6.51,5.78,7.22,3.12,11286,148.55,10.71
79,3,1341,16537,835,18715,26529,7866,5.84,6.69,7.79,2.58,10415,121.9,10.62
79,2,1161,11826,874,13863,24240,6813,3.35,6.53,10.51,1.39,8550,38.47,4.59
104,4,20127,935,845,21908,24997,6014,5.76,6.27,5.03,2.67,12501,188.47,20.02
104,1,17791,856,1290,19940,25467,9146,7.16,5.7,7.03,3.47,12767,56.48,131.37
104,5,20565,968,1322,22857,24330,5792,7.37,6.24,5.69,3.41,12867,180.95,21.2
104,3,17938,1013,688,19641,23350,5015,6.94,6.57,6.7,3.09,12422,167.91,18.83
104,2,11920,2576,795,15292,20115,3301,4.24,6.9,7.22,1.8,9811,66.87,23.4
887,4,2994,13418,4683,21097,29306,6984,5.75,6.24,4.57,2.6,11595,166.92,11.89
887,1,2724,13226,3955,19908,34325,11692,6.96,6.26,5.96,3.2,12047,43.67,125.05
887,5,2882,13333,4401,20618,29366,6654,6.47,6.31,5.43,2.92,11561,153.61,11.58
887,3,2811,12018,3532,18364,27973,6024,6.39,6.7,5.48,2.84,11258,144.53,13.0
887,2,1982,8291,2583,12857,24754,4382,3.75,7.09,6.61,1.52,8923,61.31,10.05
120,4,13486,2739,887,17115,29793,8849,5.28,7.04,5.54,2.3,10518,143.41,14.79
120,1,14942,2745,1309,18997,35773,15831,7.76,5.98,8.28,3.76,12192,35.61,133.54
120,5,12933,2690,924,16548,29130,8273,6.03,7.22,6.39,2.63,10461,126.5,18.63
120,3,11725,2095,570,14391,27825,6827,5.95,7.83,6.34,2.41,9680,102.9,18.68
120,2,6834,2023,569,9428,24711,5538,3.24,7.62,7.22,1.26,7929,44.36,20.69
74,4,1022,25516,681,27221,19599,1511,5.11,6.57,5.61,2.18,11556,170.07,7.88
74,1,663,18326,965,19956,23094,4719,4.43,7.53,6.96,1.73,10481,49.86,91.76
74,5,844,26024,833,27703,19731,1548,5.55,6.54,7.17,2.4,11478,161.82,7.08
74,3,722,24597,591,25912,18552,1770,5.75,6.57,8.02,2.49,11358,153.81,7.65
74,2,650,20780,783,22215,16625,1185,4.13,6.96,9.05,1.7,9583,51.38,5.8
420,4,24825,604,459,25889,33621,8464,5.49,6.7,4.37,2.43,12123,189.99,5.61
420,1,17301,345,621,18269,32352,9334,4.41,7.27,4.9,1.84,10166,88.54,62.25
420,5,24560,594,590,25746,33592,8515,6.05,6.89,4.9,2.67,12067,181.74,5.5
420,3,20132,451,517,21102,32228,7252,5.15,8.43,5.88,1.97,10861,149.73,6.09
420,2,15813,443,592,16850,29009,5473,3.73,8.67,6.96,1.34,9224,70.66,4.1
39,4,15180,5925,818,21924,29757,5554,7.01,7.07,4.62,3.07,12772,199.16,12.72
39,1,11020,4140,894,16055,29543,6626,5.79,7.41,5.04,2.4,11090,85.84,84.02
39,5,15224,5924,1139,22289,29745,5470,8.03,7.24,5.21,3.42,12833,192.69,11.29
39,3,14306,5311,777,20396,28988,4855,8.11,7.96,5.56,3.23,12561,183.53,12.15
39,2,7811,3425,684,11922,22534,2500,3.96,8.16,5.58,1.41,8890,89.23,8.06
427,4,4374,9843,725,14944,19271,2167,3.11,5.8,9.0,1.41,9183,113.25,7.66
427,1,2869,5937,877,9684,16566,5102,2.73,5.0,12.9,1.36,9572,16.87,107.53
427,5,3616,8280,732,12629,17560,2776,3.01,4.87,10.73,1.53,8823,109.57,5.33
427,3,3368,5580,518,9468,17169,2464,2.86,6.13,9.03,1.26,8418,92.47,7.16
427,2,2385,5014,557,7958,17464,3101,1.79,6.1,13.01,0.68,7995,23.57,9.89
40,4,1602,5126,388,7118,15971,6702,1.53,5.28,12.98,0.57,7862,57.98,2.97
40,1,1100,2993,438,4532,17186,5624,1.2,6.08,7.0,0.39,6581,22.67,44.33
40,5,1298,6374,492,8165,15334,5362,1.8,5.2,8.93,0.74,7613,80.43,1.69
40,3,1197,4288,386,5873,13617,5388,1.43,4.83,9.09,0.52,6875,47.66,1.39
