key,role,path,rune_id,wins,matches
266,3,1,8237,12,39
266,3,2,8237,1,4
266,3,1,8232,0,1
266,3,2,8232,2,7
266,3,1,8236,7,15
266,3,2,8236,20,57
266,3,1,8437,4,24
266,3,1,8439,2,6
266,3,1,8465,0,0
266,3,1,8446,5,21
266,3,2,8446,41,95
266,3,1,8463,1,6
266,3,2,8463,10,27
266,3,1,8401,0,3
266,3,2,8401,8,16
266,3,1,8429,2,6
266,3,2,8429,73,140
266,3,1,8444,3,13
266,3,2,8444,644,1407
266,3,1,8473,1,11
266,3,2,8473,747,1799
266,3,1,8451,4,15
266,3,2,8451,56,158
266,3,1,8453,1,9
266,3,2,8453,1055,2466
266,3,1,8242,1,6
266,3,2,8242,330,696
266,3,1,8351,47,128
266,3,1,8360,0,4
266,3,1,8369,6,12
266,3,1,8306,2,14
266,3,2,8306,0,0
266,3,1,8304,48,121
266,3,2,8304,12,40
266,3,1,8313,3,9
266,3,2,8313,1,2
266,3,1,8321,23,64
266,3,2,8321,6,16
266,3,1,8316,21,58
266,3,2,8316,1,1
266,3,1,8345,9,22
266,3,2,8345,3,18
266,3,1,8347,37,91
266,3,2,8347,11,26
266,3,1,8410,16,50
266,3,2,8410,4,15
266,3,1,8352,0,3
266,3,2,8352,0,4
266,3,1,5008,1203,2831
266,3,1,5005,482,1121
266,3,1,5007,70,151
266,3,1,5008f,1660,3897
266,3,1,5002f,76,165
266,3,1,5003f,20,41
266,3,1,5001,82,212
266,3,1,5002,1503,3472
266,3,1,5003,170,419
266,2,1,8005,13,45
266,2,1,8008,15,34
266,2,1,8021,17,40
266,2,1,8010,1705,4361
266,2,1,9101,11,27
266,2,2,9101,2,6
266,2,1,9111,1737,4453
266,2,2,9111,416,946
266,2,1,8009,0,0
266,2,2,8009,0,0
266,2,1,9104,235,619
266,2,2,9104,23,54
266,2,1,9105,1351,3437
266,2,2,9105,284,627
266,2,1,9103,163,424
266,2,2,9103,30,65
266,2,1,8014,229,607
266,2,2,8014,141,381
266,2,1,8017,16,45
266,2,2,8017,2,13
266,2,1,8299,1504,3828
266,2,2,8299,148,324
266,2,1,8112,132,295
266,2,1,8124,4,12
266,2,1,8128,35,86
266,2,1,9923,16,36
266,2,1,8126,50,109
266,2,2,8126,172,424
266,2,1,8139,61,152
266,2,2,8139,307,768
266,2,1,8143,76,168
266,2,2,8143,193,451
266,2,1,8136,32,77
266,2,2,8136,488,1074
266,2,1,8120,11,32
266,2,2,8120,981,2155
266,2,1,8138,144,320
266,2,2,8138,111,287
266,2,1,8135,101,234
266,2,2,8135,1833,4055
266,2,1,8134,7,25
266,2,2,8134,19,54
266,2,1,8105,20,48
266,2,2,8105,46,133
266,2,1,8106,59,122
266,2,2,8106,120,313
266,2,1,8214,4,14
266,2,1,8229,90,224
266,2,1,8230,5,16
266,2,1,8224,37,103
266,2,2,8224,16,53
266,2,1,8226,0,0
266,2,2,8226,0,0
266,2,1,8275,62,151
266,2,2,8275,20,54
266,2,1,8210,84,212
266,2,2,8210,46,132
266,2,1,8234,6,18
266,2,2,8234,29,58
266,2,1,8233,9,24
266,2,2,8233,16,48
266,2,1,8237,77,198
266,2,2,8237,40,88
266,2,1,8232,2,10
266,2,2,8232,5,14
266,2,1,8236,20,46
266,2,2,8236,42,107
266,2,1,8437,44,106
266,2,1,8439,77,195
266,2,1,8465,20,50
266,2,1,8446,42,104
266,2,2,8446,75,220
266,2,1,8463,91,222
266,2,2,8463,257,541
266,2,1,8401,8,25
266,2,2,8401,0,9
266,2,1,8429,28,88
266,2,2,8429,153,339
266,2,1,8444,48,120
266,2,2,8444,1023,2335
266,2,1,8473,65,143
266,2,2,8473,1530,3742
266,2,1,8451,57,141
266,2,2,8451,273,619
266,2,1,8453,47,125
266,2,2,8453,1899,4510
266,2,1,8242,37,85
266,2,2,8242,562,1303
