key,role,ban_rate,pick_rate,wins,matches
89,3,8.45,0.02,1001,3523
89,2,8.45,7.51,858231,1702163
876,4,2.71,1.53,182105,347528
876,1,2.71,3.84,444084,869219
876,5,2.71,0.16,19727,37026
876,3,2.71,0.01,979,2168
876,2,2.71,0.05,5866,12162
127,4,0.65,0.08,8682,18599
127,1,0.65,0.0,151,492
127,5,0.65,2.12,233347,479842
127,3,0.65,0.01,998,2306
127,2,0.65,0.08,8659,18902
236,4,2.22,0.28,29011,63802
236,1,2.22,0.01,682,2033
236,5,2.22,0.67,70776,152534
236,3,2.22,7.04,764292,1594267
236,2,2.22,0.03,2349,7225
117,4,8.47,0.06,5804,13072
117,1,8.47,0.0,211,733
117,5,8.47,0.06,6833,14591
117,3,8.47,0.02,1426,4746
117,2,8.47,7.86,868554,1780919
99,4,11.81,0.06,6065,13484
99,1,11.81,0.01,752,2124
99,5,11.81,5.01,577209,1134898
99,3,11.81,0.24,24102,54914
99,2,11.81,14.3,1643781,3238340
54,4,2.53,3.35,380128,758435
54,1,2.53,0.3,28270,68087
54,5,2.53,0.93,105174,210770
54,3,2.53,0.02,1643,4394
54,2,2.53,0.98,104525,221875
90,4,4.42,0.23,25763,51291
90,1,4.42,0.01,561,1566
90,5,4.42,3.47,403992,785518
90,3,4.42,0.05,5129,10628
90,2,4.42,0.08,8772,19069
57,4,4.24,4.05,473529,918048
57,1,4.24,2.14,252325,483938
57,5,4.24,0.1,11320,21670
57,3,4.24,0.03,2427,5725
57,2,4.24,4.19,494111,949665
11,4,35.63,0.23,24422,52028
11,1,35.63,10.74,1267460,2433678
11,5,35.63,0.13,14722,29640
11,3,35.63,0.02,2024,4441
11,2,35.63,0.02,1856,4837
21,4,26.25,0.06,5600,13077
21,1,26.25,0.01,482,1522
21,5,26.25,0.26,27293,58771
21,3,26.25,25.0,2997706,5662460
21,2,26.25,2.05,210399,464559
62,4,1.04,0.84,93380,189836
62,1,1.04,1.77,192251,400858
62,5,1.04,0.14,16179,32396
62,3,1.04,0.01,1346,2893
62,2,1.04,0.04,3648,7942
82,4,15.61,9.1,1074305,2061610
82,1,15.61,1.58,191093,357986
82,5,15.61,0.6,74511,136843
82,3,15.61,0.03,3244,6784
82,2,15.61,0.06,5629,12995
25,4,29.71,0.09,9487,20020
25,1,29.71,0.36,38850,81876
25,5,29.71,0.71,82102,160325
25,3,29.71,0.1,9559,23480
25,2,29.71,11.18,1299301,2533244
267,4,0.72,0.0,259,752
267,1,0.72,0.0,40,254
267,5,0.72,0.01,503,1419
267,3,0.72,0.01,471,1771
267,2,0.72,5.65,659473,1280033
75,4,6.07,6.64,772517,1503537
75,1,6.07,0.53,54782,119298
75,5,6.07,0.37,43660,84794
75,3,6.07,0.02,2288,5459
75,2,6.07,0.34,33675,76465
111,4,10.54,0.06,6118,13893
111,1,10.54,0.06,5663,13617
111,5,10.54,0.02,2398,5540
111,3,10.54,0.02,1170,4188
111,2,10.54,8.0,891112,1811940
518,4,0.57,0.22,25355,49990
518,1,0.57,0.01,1283,3112
518,5,0.57,1.72,200023,390060
518,3,0.57,0.08,8744,18396
518,2,0.57,0.76,87428,173159
76,4,1.55,0.09,9089,20553
76,1,1.55,3.25,348409,735195
76,5,1.55,0.08,7916,17336
76,3,1.55,0.01,1282,3172
76,2,1.55,0.2,21231,44876
895,4,8.56,0.07,7055,15726
895,1,8.56,0.02,1248,3522
895,5,8.56,0.06,6436,14308
895,3,8.56,2.93,350023,662671
895,2,8.56,0.02,1054,3449
56,4,3.32,0.14,15489,31103
56,1,3.32,5.62,658139,1272504
56,5,3.32,0.14,16174,31896
56,3,3.32,0.0,250,644
56,2,3.32,0.01,698,1872
20,4,0.76,0.03,1703,6178
20,1,0.76,2.79,312629,631446
20,5,0.76,0.24,24679,53522
20,3,0.76,0.01,595,2858
20,2,0.76,0.09,7358,21053
2,4,2.45,2.63,302861,595479
2,1,2.45,0.74,82214,166696
2,5,2.45,0.06,7114,13875
2,3,2.45,0.01,829,1877
2,2,2.45,0.01,702,1819
61,4,0.17,0.02,2222,4537
61,1,0.17,0.0,53,183
61,5,0.17,1.88,206695,426703
61,3,0.17,0.01,1440,3346
61,2,0.17,0.17,18797,39283
516,4,0.83,4.37,510934,990183
516,1,0.83,0.04,3401,8154
516,5,0.83,0.14,16213,31359
516,3,0.83,0.01,799,1842
516,2,0.83,0.17,17072,37646
80,4,1.74,1.23,140048,279426
80,1,1.74,1.87,204024,424342
80,5,1.74,1.84,219638,417246
80,3,1.74,0.06,5917,13287
80,2,1.74,2.33,253783,526848
78,4,1.62,0.82,92863,185429
78,1,1.62,2.02,221370,458324
78,5,1.62,0.04,4375,8693
78,3,1.62,0.01,424,1138
78,2,1.62,0.29,32966,66051
555,4,16.05,0.02,2100,4995
555,1,16.05,0.02,1698,4596
555,5,16.05,0.26,29139,58394
555,3,16.05,0.05,4510,11405
555,2,16.05,7.57,846759,1715129
246,4,0.6,0.04,4796,10191
246,1,0.6,0.43,45701,97237
246,5,0.6,1.55,167669,351949
246,3,0.6,0.01,698,1591
246,2,0.6,0.02,1564,3756
133,4,1.09,1.57,178914,354637
133,1,1.09,0.07,6921,15602
133,5,1.09,0.2,23554,45409
133,3,1.09,0.1,11070,23120
133,2,1.09,0.03,2670,5768
497,4,0.23,0.01,768,1743
497,1,0.23,0.0,197,559
497,5,0.23,0.04,4282,8938
497,3,0.23,0.01,410,1414
497,2,0.23,2.57,284149,581677
33,4,8.21,0.5,55700,112845
33,1,8.21,4.0,471024,907036
33,5,8.21,0.03,3388,6951
33,3,8.21,0.01,638,1517
33,2,8.21,0.07,7417,16100
421,4,2.36,0.02,2535,5573
421,1,2.36,1.66,186502,376771
421,5,2.36,0.02,2182,4174
421,3,2.36,0.0,106,246
421,2,2.36,0.01,674,1521
526,4,0.38,0.02,2030,4282
526,1,0.38,0.0,205,563
526,5,0.38,0.0,272,658
526,3,0.38,0.0,151,605
526,2,0.38,1.46,169703,331064
888,4,2.11,0.0,401,1011
888,1,2.11,0.0,48,200
888,5,2.11,0.01,635,1531
